Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
460.376,20403,460,360000000,world,8.264536725288543e-06,8.610100910573863e-05,-8.74787284047198e-05,1.731137206085266e-05,-4.147388982648696e-06,-0.0005985650916773455
460.376,20404,460,376000000,world,8.391712862159623e-06,8.906676163791511e-05,-8.746422231101828e-05,1.7992793319197728e-05,-4.1642944632631545e-06,-0.000596816182663373
460.384,20405,460,384000000,world,8.449345191976999e-06,9.040372892519614e-05,-8.745785350024079e-05,1.7881065129211242e-05,-4.172795571647983e-06,-0.0005964420441274061
460.408,20406,460,400000000,world,8.548666835373344e-06,9.268640123189931e-05,-8.74475257895038e-05,1.768175265251084e-05,-4.189959575026476e-06,-0.0005957768834636057
460.424,20407,460,416000000,world,8.648019920266563e-06,9.496967398535236e-05,-8.743719388973189e-05,1.7484548725476767e-05,-4.207072448305309e-06,-0.0005950953272878266
460.448,20408,460,440000000,world,8.767903165056382e-06,9.768255325859315e-05,-8.742611977746186e-05,1.8399959294763574e-05,-4.2325159017617695e-06,-0.0005930758804747363
460.464,20409,460,448000000,world,8.803001922870773e-06,9.846799070909053e-05,-8.742316675200902e-05,1.8906310547290938e-05,-4.240964760505624e-06,-0.0005922434185739016
460.472,20410,460,464000000,world,8.873223348200016e-06,0.00010003875605443154,-8.741726083829785e-05,1.9918573872580934e-05,-4.2579228405474825e-06,-0.0005905926672071284
460.488,20411,460,480000000,world,8.965576047852447e-06,0.00010207549152046455,-8.741040192182084e-05,2.2505633589498187e-05,-4.283541718157933e-06,-0.0005872053635605605
460.512,20412,460,496000000,world,8.99638342591702e-06,0.00010275334953899432,-8.740812119323442e-05,2.3364256984395486e-05,-4.292289630947964e-06,-0.0005861127899793095
460.528,20413,460,512000000,world,9.059467842078889e-06,0.00010414380816242309,-8.740334771605571e-05,2.5170504526069053e-05,-4.309904044999811e-06,-0.0005838593994190204
460.544,20414,460,528000000,world,9.158787727517031e-06,0.00010634514018890016,-8.739547672169394e-05,2.79518119154037e-05,-4.336073600927489e-06,-0.000580431019040333
460.552,20415,460,544000000,world,9.226877102501065e-06,0.0001078594791729634,-8.738993870408002e-05,2.973831415451969e-05,-4.353322250930091e-06,-0.0005782291712679158
460.616,20416,460,600000000,world,9.438236466996136e-06,0.00011257369840298259,-8.737225296176046e-05,3.471075960156771e-05,-4.405052724319537e-06,-0.0005720506318177202
460.672,20417,460,624000000,world,9.545407443719135e-06,0.00011489274966031321,-8.714468159245045e-05,3.717913356745715e-05,-4.414848167392833e-06,-0.0005690066108399948
460.704,20418,460,672000000,world,9.595860214148633e-06,0.00011581452118762997,-8.625801455382605e-05,3.8735268432096186e-05,-4.653987889426534e-06,-0.0005670338593774821
460.704,20419,460,704000000,world,9.60974977100201e-06,0.00011584860916190681,-8.46730545062302e-05,3.855731571594438e-05,-4.533654035835041e-06,-0.0005667467696346179
460.768,20420,460,760000000,world,9.609628395805903e-06,0.00011536915581313748,-8.150320179076488e-05,3.663458168790866e-05,-4.559777453194158e-06,-0.0005639745684877076
460.784,20421,460,776000000,world,9.598402085923898e-06,0.00011490245455186757,-8.014594851528976e-05,3.5012034094930285e-05,-4.594840275409854e-06,-0.0005619780479405446
460.8,20422,460,792000000,world,9.593951505407759e-06,0.00011472929129111355,-7.96936207667585e-05,3.441718428039172e-05,-4.607937825117529e-06,-0.0005612717383326396
460.816,20423,460,808000000,world,9.580101612679352e-06,0.00011420049351655515,-7.839975720951065e-05,3.264998529021198e-05,-4.6749124620671795e-06,-0.0005591510318120525
460.824,20424,460,824000000,world,9.575479413736866e-06,0.00011402443156733084,-7.798111624365496e-05,3.206311629480111e-05,-4.697687570128763e-06,-0.0005584567387901649
460.848,20425,460,840000000,world,9.561738741004213e-06,0.00011349900610135314,-7.676901229055967e-05,3.0306470156116585e-05,-4.7596852096033165e-06,-0.0005564341711316035
460.864,20426,460,864000000,world,9.552897413941486e-06,0.00011314792023918759,-7.597723804662626e-05,2.9124784822718804e-05,-4.797009328628302e-06,-0.0005552168907490472
460.88,20427,460,872000000,world,1.0381494346784325e-05,0.0001146503422136138,-7.553562599009398e-05,3.585860184065956e-05,-5.86798588453709e-06,-0.00019090952349093206
460.896,20428,460,888000000,world,1.7524282172990814e-05,0.0001248342124790792,-7.403421935579353e-05,8.368414705015647e-05,-1.553765288131392e-05,0.0025018145636989146
460.92,20429,460,912000000,world,3.304568665167518e-05,0.00014288546111795923,-7.239574705058651e-05,0.0001652002762085965,-3.8109958459746707e-05,0.006606436184830069
460.928,20430,460,920000000,world,3.304568665167518e-05,0.00014288546111795923,-7.239574705058651e-05,0.0001652002762085965,-3.8109958459746707e-05,0.006606436184830069
