Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
146.128,6809,146,120000000,world,11.24821527754768,-6.590499117151255,4.295874014153458,0.0005615343507092559,-0.001438745857409351,-0.01443500255136611,0.999894617142663
146.144,6810,146,136000000,world,11.248216213698417,-6.590490527327006,4.295874427691492,0.0005607900988580852,-0.0014387686465278827,-0.014443756509285454,0.999894491112511
146.16,6811,146,152000000,world,11.248217147293246,-6.590482029494172,4.295874841054052,0.0005600317200273552,-0.0014387911024033209,-0.01445249124893543,0.999894365291322
146.184,6812,146,168000000,world,11.248218078392474,-6.590473621458721,4.2958752542470595,0.0005592631327729428,-0.0014388133789256848,-0.014461210755101496,0.9998942396195237
146.192,6813,146,192000000,world,11.2482190070808,-6.590465300208013,4.295875667276091,0.0005584889622193359,-0.0014388356040387763,-0.014469919689097072,0.9998941140272679
146.208,6814,146,200000000,world,11.248219933429853,-6.590457063173208,4.295876080145453,0.0005577127395282493,-0.0014388578665265718,-0.01447862150791273,0.9998939884626624
146.216,6815,146,216000000,world,11.24822039574538,-6.590452975576447,4.2958762865213265,0.0005573243937258189,-0.0014388690273062202,-0.014482970235515851,0.9998939256834196
146.232,6816,146,232000000,world,11.248221318687575,-6.590444861170345,4.295876699157154,0.0005565472665365449,-0.0014388914195711333,-0.014491663241460215,0.9998938001323535
146.248,6817,146,248000000,world,11.24822223938421,-6.590436827579124,4.295877111639199,0.0005557691644158619,-0.0014389139125943115,-0.014500349759538655,0.9998936745995742
146.272,6818,146,264000000,world,11.248223157839925,-6.590428874613062,4.2958775239681275,0.0005549898056654853,-0.0014389365124094704,-0.01450902918124018,0.9998935490942257
146.288,6819,146,280000000,world,11.248224531301343,-6.5904170968635665,4.295878142174533,0.0005538173925715132,-0.0014389706066242735,-0.014522033582106051,0.9998933609093168
146.304,6820,146,296000000,world,11.24822498799029,-6.590413211557741,4.295878348166755,0.0005534254454727442,-0.0014389820209678142,-0.014526364205161573,0.9998932982043628
146.312,6821,146,312000000,world,11.248225899656424,-6.590405502298303,4.295878760036011,0.000552639166709263,-0.0014390049150645057,-0.01453501853743139,0.9998931728394402
146.328,6822,146,328000000,world,11.248226809034895,-6.590397874989747,4.295879171751676,0.0005518494806779511,-0.0014390278946021643,-0.014543663454634287,0.9998930475376792
146.352,6823,146,344000000,world,11.248227716122429,-6.5903903297261595,4.29587958331382,0.0005510562428552973,-0.0014390509599766699,-0.014552298840868295,0.9998929223010823
146.368,6824,146,360000000,world,11.24822862094318,-6.590382865640361,4.295879994723506,0.0005502607920482097,-0.0014390741325592499,-0.014560923249464057,0.9998927971501871
146.416,6825,146,400000000,world,11.24823087269793,-6.59036457321583,4.295881022566178,0.0005482785092929903,-0.001439132765248189,-0.014582430859508213,0.9998924847191263
146.432,6826,146,416000000,world,11.24823266315372,-6.590350329730619,4.29588184412708,0.0005466932378790715,-0.0014391803365472057,-0.014599559876823124,0.9998922355623459
146.44,6827,146,432000000,world,11.24823266315372,-6.590350329730619,4.29588184412708,0.0005466932378790715,-0.0014391803365472057,-0.014599559876823124,0.9998922355623459
146.464,6828,146,456000000,world,11.248234433230872,-6.590336439076048,4.295882654804871,0.0005451122478824926,-0.0014392037227832829,-0.014616564153769643,0.9998919879655104
146.496,6829,146,480000000,world,11.248236161669992,-6.5903228958774385,4.295883436720601,0.0005435617047390651,-0.0014391574101008692,-0.014633378478855817,0.9998917429406631
146.512,6830,146,496000000,world,11.248237005772088,-6.590316253216742,4.295883813460584,0.0005428039707750699,-0.0014390990490898376,-0.014641703095495858,0.999891621571178
146.52,6831,146,512000000,world,11.248237005772088,-6.590316253216742,4.295883813460584,0.0005428039707750699,-0.0014390990490898376,-0.014641703095495858,0.999891621571178
146.688,6832,146,680000000,world,11.248245035686942,-6.5902516588000335,4.2958871843012,0.0005356332448118995,-0.001437030612050485,-0.014725890052720583,0.9998903920941546
146.696,6833,146,696000000,world,11.248245720985727,-6.590245997521069,4.29588744968741,0.0005350253693544865,-0.0014366950196022946,-0.014733599679166598,0.9998902793285714
146.72,6834,146,712000000,world,11.248246392625866,-6.590240421547369,4.29588770580804,0.0005344296203300682,-0.001436336102690666,-0.01474125598873724,0.9998901673161185
146.728,6835,146,728000000,world,11.248247051012592,-6.5902349309600625,4.295887953039982,0.0005338451610414388,-0.0014359547828829893,-0.014748859856762981,0.9998900560442289
146.744,6836,146,744000000,world,11.248247696605004,-6.5902295243174605,4.295888191658958,0.0005332741538861929,-0.0014355518657349125,-0.014756414977311708,0.9998899454572663
146.76,6837,146,760000000,world,11.248248331269798,-6.590224200970001,4.2958884210463,0.0005327161813176836,-0.0014351302631854627,-0.014763919995693504,0.9998898355723788
146.784,6838,146,776000000,world,11.248248959315399,-6.590218960974273,4.29588863916818,0.0005321668193579281,-0.0014346966919514168,-0.01477136600452263,0.9998897265149989
146.832,6839,146,792000000,world,11.24824989810259,-6.590211258766857,4.295888940692957,0.0005313467273086481,-0.0014340382509729537,-0.01478240218286133,0.9998895647973601
146.84,6840,146,832000000,world,11.248251154699945,-6.590201286980814,4.2958892891305664,0.0005302434733376964,-0.0014331557355268087,-0.014796841713877512,0.9998893530695239
146.84,6841,146,840000000,world,11.248251470622616,-6.590198847710234,4.2958893663186,0.0005299639586966174,-0.0014329400479495547,-0.01480039988942352,0.9998893008649181
146.864,6842,146,856000000,world,11.248252105456055,-6.5901940342458,4.295889508238256,0.0005293986094993549,-0.0014325114809220455,-0.014807451899430375,0.9998891973694962
146.88,6843,146,872000000,world,11.248253065123086,-6.59018697676348,4.295889690018012,0.0005285347764358485,-0.001431876246365304,-0.014817870324926388,0.9998890443946464
146.904,6844,146,896000000,world,11.248254033407191,-6.590180114562391,4.295889834624854,0.0005276522028487294,-0.0014312503898748958,-0.014828099381137813,0.9998888941148498
146.912,6845,146,904000000,world,11.248254357899974,-6.590177870563316,4.2958898746595615,0.0005273540511209185,-0.0014310436451082705,-0.014831467631068369,0.9998888446120896
146.928,6846,146,920000000,world,11.248255008740422,-6.590173447690557,4.29588994285198,0.0005267526868842575,-0.001430631856721482,-0.014838143907031783,0.9998887464660714
146.944,6847,146,936000000,world,11.248255661729978,-6.59016911164561,4.295889995374111,0.0005261450217700547,-0.001430221867072408,-0.014844740672323314,0.9998886494561274
146.952,6848,146,952000000,world,11.248256316577335,-6.590164863564055,4.295890032358728,0.0005255296999205133,-0.0014298132774259818,-0.014851256392294905,0.9998885536078992
146.976,6849,146,968000000,world,11.248256644650088,-6.590162773293389,4.295890045037258,0.0005252180220711707,-0.001429609458579013,-0.014854482491855668,0.9998885061409218
146.992,6850,146,992000000,world,11.248257301979486,-6.590158662623664,4.295890058710945,0.0005245832673994163,-0.0014292025992762674,-0.014860866939211891,0.9998884121871504
147.008,6851,147,8000000,world,11.248258290773922,-6.590152672372479,4.2958900499421215,0.0005236012005338741,-0.001428594038692157,-0.01487027133005621,0.9998882737543361
147.032,6852,147,16000000,world,11.248258621011658,-6.590150723080803,4.295890039163965,0.0005232650957996636,-0.0014283914910167683,-0.014873358773738157,0.9998882282986313
147.104,6853,147,40000000,world,11.248261938792783,-6.590132517169434,4.295889714233214,0.0005196950345135593,-0.0014263709737152711,-0.014902942524253468,0.9998877925482615
147.104,6854,147,104000000,world,11.248261938792783,-6.590132517169434,4.295889714233214,0.0005196950345135593,-0.0014263709737152711,-0.014902942524253468,0.9998877925482615
147.208,6855,147,184000000,world,11.24826662414303,-6.590111091635469,4.2958885954356285,0.0005145056101380387,-0.0014235611595788773,-0.014940262855230587,0.9998872422945593
147.208,6856,147,208000000,world,11.24826662414303,-6.590111091635469,4.2958885954356285,0.0005145056101380387,-0.0014235611595788773,-0.014940262855230587,0.9998872422945593
